auroc,auprc,f1,shd,dataset,kind,d,n,seed,method,time_s,n_params,gen_seed
0.9453139110645522,0.536539537376777,0.6222222222222222,68,nonlin_d50_n3000,nonlinear,50,3000,43,VAR-Lasso,26.954,,43
0.815536610916447,0.34376537139379315,0.37446808510638296,147,nonlin_d50_n3000,nonlinear,50,3000,43,Correlation,0.202,,43
0.5582532601235416,0.09854183550780211,0.15916955017301038,243,nonlin_d50_n3000,nonlinear,50,3000,43,NOTEARS,0.167,,43
0.9544169707040422,0.6246880405075538,0.66,68,nonlin_d50_n3000,nonlinear,50,3000,43,GOLEM,0.474,,43
0.8356075931076834,0.41500907005777643,0.4567901234567901,88,nonlin_d50_n3000,nonlinear,50,3000,43,CD-KAN,13.514,82550,43
0.973032700421941,0.8993969143132415,0.8993288590604027,15,nonlin_d50_n3000,nonlinear,50,3000,44,VAR-Lasso,2.341,,40044
0.9448681434599155,0.6734992082104923,0.6762589928057554,45,nonlin_d50_n3000,nonlinear,50,3000,44,Correlation,0.203,,40044
0.5863818565400845,0.1416473964019998,0.2,88,nonlin_d50_n3000,nonlinear,50,3000,44,NOTEARS,0.168,,40044
0.9894251054852321,0.9542839912783196,0.925,12,nonlin_d50_n3000,nonlinear,50,3000,44,GOLEM,0.52,,40044
0.8333227848101266,0.5328164217123833,0.6,52,nonlin_d50_n3000,nonlinear,50,3000,44,CD-KAN,13.905,82550,40044
